Date,Timefile,Time,Frame,Size (cm),Direction,Notes
July 4,02:30,02:38:23,2314/2770,52,up,
July 4,02:10,02:10:18,73/2783,42,DS,
July 4,02:10,02:11:43,474/2783,56,up,
July 4,02:10,02:12:17,632/2783,42,up,
July 4,02:10,02:12:24,661/2783,45,up,
July 4,02:10,02:12:53,793/2783,60,up,
July 4,02:10,02:13:55,1083/2783,51,up,
July 4,02:10,02:14:07,1141/2783,54,up,
July 4,02:10,02:15:30,1528/2783,53,up,
July 4,02:10,02:16:58,1937/2783,42,up,
July 4,02:10,02:16:58,1937/2783,63,up,
July 4,02:10,02:18:20,2326/2783,60,up,
July 4,02:10,02:18:22,2335/2783,47,DS,
July 4,02:10,02:19:07,2539/2783,57,up,
July 4,03:00,03:00:49,221/2803,47,up,
July 4,03:00,03:02:22,659/2803,50,DS,
July 4,03:00,03:06:42,1884/2803,52,up,
July 4,03:00,03:07:06,1987/2803,58,up,
July 4,03:10,03:11:13,326/2757,53,DS,
July 4,03:10,03:11:23,368/2757,49,up,
July 4,03:10,03:13:29,950/2757,60,up,
July 4,03:10,03:14:32,1239/2757,46,up,
July 4,03:10,03:16:11,1701/2757,60,up,
July 4,03:10,03:19:08,2519/2757,49,up,
July 4,03:10,03:19:35,2651/2757,45,up,
July 4,04:50,04:55:20,1465/2772,48,up,
July 4,04:50,04:55:20,1465/2772,49,up,
July 4,04:20,04:20:21,87/2765,63,DS,
July 4,04:20,04:20:26,110/2765,45,up,
July 4,04:20,04:21:45,485/2765,65,up,
July 4,04:20,04:25:48,1600/2765,54,up,
July 4,04:20,04:28:43,2409/2765,58,up,
July 4,04:20,04:29:34,2653/2765,49,up,
July 4,05:20,05:27:13,1986/2764,41,up,
July 4,05:20,05:27:13,1986/2764,46,up,
July 4,05:20,05:27:13,1986/2764,60,up,
July 4,05:20,05:27:13,1986/2764,40,up,
July 4,05:20,05:27:13,1986/2764,52,up,
July 4,05:10,05:11:33,433/2753,53,DS,
July 4,05:10,05:11:33,433/2753,55,DS,
July 4,06:50,06:55:59,1656/2785,87,up,
July 4,06:50,06:55:59,1656/2785,74,up,
July 4,06:50,06:57:50,2185/2785,55,DS,
July 4,07:30,07:38:07,2233/2737,59,up,
July 4,15:00,15:07:49,2187/2801,84,up,
July 4,20:10,20:17:47,2179/2798,70,up,
