Date,Timefile,Time,Frame,Size (cm),Direction,Notes,
June 10,03:10,03:19:37,2680/2786,48,up,,
June 10,03:40,03:41:32,416/2799,51,up,,
June 10,03:40,03:48:05,2261/2799,49,up,,
June 10,03:40,03:48:07,2271/2799,54,up,,
June 10,04:50,04:51:17,352/2797,53,up,*End frame adjusted to 2777,
June 10,04:50,04:56:46,1877/2777,52,down,,
June 10,04:50,04:56:46,1877/2777,47,down,,
June 10,04:50,04:56:46,1879/2777,53,down,,
June 10,04:10,04:15:12,1427/2762,54,up,,
June 10,21:30,21:31:45,492/2794,46,down,,
June 10,22:00,21:35:15,1464/2974,67,down,object,
June 10,22:00,22:00:33,125/2782,56,up,,
June 10,22:00,22:00:33,125/2782,50,up,,
June 10,22:00,22:00:34,128/2782,60,up,,
June 10,22:00,22:00:36,140/2782,58,up,,
June 10,22:00,22:00:38,140/2782,45,up,,
June 10,22:20,22:25:32,1538/2790,55,down,,
June 10,22:20,22:25:36,1556/2790,54,down,,
June 10,22:20,22:25:36,1556/2790,54,down,,
June 10,22:20,22:25:44,1595/2790,55,down,,
June 10,23:30,23:30:13,45/2791,51,up,,
June 10,23:30,23:30:13,94/2791,45,up,,
June 10,23:30,23:38:17,2307/2791,54,down,,
June 10,23:50,23:52:07,572/2771,47,up,,
June 10,23:50,23:56:56,1914/2771,45,up,,
June 10,23:50,23:57:38,2111/2771,54,up,,
June 11,01:10,01:12:43,742/2768,49,up,,
June 11,01:10,01:16:25,1776/2768,48,up,,
June 11,02:20,02:20:07,15/2781,49,up,,
June 11,03:30,03:38:45,2420/2768,90,down,object,
June 11,04:30,04:33:37,999/2781,47,↻,,
June 11,04:30,04:33:37,999/2781,56,↻,,
June 11,04:30,04:33:41,1014/2781,49,↻,,
June 11,04:30,04:33:41,1014/2781,50,↻,,
June 11,04:30,04:39:59,2780/2781,47,↻,,
June 11,05:00,05:05:55,1644/2792,55,up,,
June 11,06:10,06:10:51,221/2787,46,up,,
June 11,06:10,06:10:51,222/2787,53,up,,
June 11,06:10,06:10:51,222/2787,49,up,,
June 11,06:10,06:10:51,222/2787,49,up,,
June 11,06:10,06:10:52,227/2787,46,up,,
June 11,06:10,06:10:52,227/2787,55,up,,
June 11,06:00,06:10:57,253/2787,56,up,,
June 11,06:00,06:02:52,796/2771,57,up,,
June 11,06:00,06:05:25,1494/2771,52,down,,
June 11,06:00,06:05:25,1494/2771,48,down,,
June 11,06:00,06:05:25,1494/2771,40,down,,
June 11,06:00,06:05:29,1517/2771,53,down,,
June 11,06:00,06:05:29,1516/2771,59,down,,
June 11,06:00,06:05:31,1523/2771,49,down,,
June 11,22:40,22:48:04,2246/2791,52,up,,
June 11,22:40,22:48:04,2246/2791,50,up,,
June 11,22:40,22:48:04,2246/2791,56,up,,
June 11,22:40,22:48:04,2246/2791,49,up,,
June 11,22:40,22:48:04,2246/2791,52,up,,
June 12,01:50,01:53:07,861/2777,48,down,,
June 12,02:00,02:08:13,2243/2739,49,up,,
June 12,03:30,03:32:10,583/2774,45,up,,
June 12,04:00,04:07:09,1981/2772,58,up,,
June 12,22:30,22:31:41,423/2701,48,up,,
June 12,22:50,22:53:00,797/2666,52,down,,
June 12,22:50,22:55:12,1400/2666,51,up,,
June 12,22:50,22:55:12,1400/2666,48,up,,
June 12,22:50,22:55:12,1400/2666,45,up,,
June 12,22:50,22:55:12,1400/2666,51,up,,
June 12,22:50,22:55:12,1400/2666,50,up,,
June 12,23:10,23:14:19,1127/2700,45,up,,
June 12,23:10,23:14:19,1127/2700,46,up,,
June 12,23:50,23:50:06,17/2742,57,up,,
June 12,23:50,23:50:08,27/2742,53,up,,
June 12,23:50,23:50:08,27/2742,57,up,,
June 13,00:00,00:07:02,1890/2675,50,up,,
June 13,00:00,00:07:34,2013/2675,57,up,,
June 13,01:50,01:52:26,639/2768,57,↻,,
June 13,01:50,01:55:08,1398/2768,47,up,,
June 13,01:50,01:57:21,2024/2768,55,up,,
June 13,01:30,01:38:23,2352/2807,57,down,,
June 13,01:30,01:37:54,2219/2807,52,up,,
June 13,02:10,02:16:05,1689/2792,56,up,,
June 13,02:10,02:19:58,2784/2792,55,up,,
June 13,03:40,03:41:28,384/2768,45,up,,
June 13,03:40,03:46:08,1688/2768,53,↻,,
June 13,03:40,03:46:08,1688/2768,53,↻,,
June 13,03:40,03:45:57,1922/2768,48,up,,
June 13,03:40,03:46:56,1914/2768,52,up,,
June 13,03:10,03:11:06,208/2681,54,up,,
June 13,03:10,03:13:32,868/2681,48,up,,
June 13,04:30,04:32:58,665/2681,54,up,,
June 13,04:20,04:20:36,144/2788,53,up,,
June 13,04:20,04:20:39,158/2788,50,up,,
June 13,05:30,05:32:14,579/2751,50,up,,
