convertedDate,frameNumber,Date,Timefile,Time,Frame,convertedTime,combinedDate,timeDiff,group,fileNameTimePrefix,fileNameDatePrefix,folderName
2020-07-03,437,July 3,05:00,05:01:36,437/2791,1900-01-01 05:01:36,2020-07-03 05:01:36-01:00,63.0,89,050000,2020-07-03,ARIS_2020_07_03
2020-07-03,1869,July 3,05:00,05:06:42,1869/2791,1900-01-01 05:06:42,2020-07-03 05:06:42-01:00,306.0,90,050000,2020-07-03,ARIS_2020_07_03
2020-07-03,2528,July 3,05:00,05:09:03,2528/2791,1900-01-01 05:09:03,2020-07-03 05:09:03-01:00,141.0,91,050000,2020-07-03,ARIS_2020_07_03
2020-07-03,-1,July 3,11:50,11:56:00,-1/0000,1900-01-01 11:56:00,2020-07-03 11:56:00-01:00,24417.0,92,115000,2020-07-03,ARIS_2020_07_03
2020-07-03,6,July 3,00:00,12:00:02,6/2771,1900-01-01 12:00:02,2020-07-03 12:00:02-01:00,242.0,93,000000,2020-07-03,ARIS_2020_07_03
2020-07-03,7,July 3,00:00,12:00:02,7/2771,1900-01-01 12:00:02,2020-07-03 12:00:02-01:00,0.0,93,000000,2020-07-03,ARIS_2020_07_03
2020-07-03,20,July 3,00:00,12:00:05,20/2771,1900-01-01 12:00:05,2020-07-03 12:00:05-01:00,3.0,93,000000,2020-07-03,ARIS_2020_07_03
2020-07-03,144,July 3,00:00,12:00:33,144/2771,1900-01-01 12:00:33,2020-07-03 12:00:33-01:00,28.0,94,000000,2020-07-03,ARIS_2020_07_03
2020-07-03,225,July 3,00:00,12:00:50,225/2771,1900-01-01 12:00:50,2020-07-03 12:00:50-01:00,17.0,94,000000,2020-07-03,ARIS_2020_07_03
2020-07-03,411,July 3,00:00,12:01:30,411/2771,1900-01-01 12:01:30,2020-07-03 12:01:30-01:00,40.0,95,000000,2020-07-03,ARIS_2020_07_03
2020-07-03,666,July 3,00:00,12:02:25,666/2771,1900-01-01 12:02:25,2020-07-03 12:02:25-01:00,55.0,96,000000,2020-07-03,ARIS_2020_07_03
2020-07-03,1204,July 3,00:00,12:04:24,1204/2771,1900-01-01 12:04:24,2020-07-03 12:04:24-01:00,119.0,97,000000,2020-07-03,ARIS_2020_07_03
2020-07-03,1694,July 3,00:00,12:06:09,1694/2771,1900-01-01 12:06:09,2020-07-03 12:06:09-01:00,105.0,98,000000,2020-07-03,ARIS_2020_07_03
2020-07-03,1855,July 3,00:00,12:06:43,1855/2771,1900-01-01 12:06:43,2020-07-03 12:06:43-01:00,34.0,99,000000,2020-07-03,ARIS_2020_07_03
2020-07-03,1979,July 3,00:00,12:07:11,1979/2771,1900-01-01 12:07:11,2020-07-03 12:07:11-01:00,28.0,100,000000,2020-07-03,ARIS_2020_07_03
2020-07-03,1463,July 3,12:30,12:35:14,1463/2799,1900-01-01 12:35:14,2020-07-03 12:35:14-01:00,1683.0,101,123000,2020-07-03,ARIS_2020_07_03
2020-07-03,1718,July 3,00:50,12:56:12,1718/2753,1900-01-01 12:56:12,2020-07-03 12:56:12-01:00,1258.0,102,005000,2020-07-03,ARIS_2020_07_03
2020-07-03,1955,July 3,00:50,12:57:06,1955/2753,1900-01-01 12:57:06,2020-07-03 12:57:06-01:00,54.0,103,005000,2020-07-03,ARIS_2020_07_03
2020-07-03,1990,July 3,00:50,12:57:14,1990/2753,1900-01-01 12:57:14,2020-07-03 12:57:14-01:00,8.0,103,005000,2020-07-03,ARIS_2020_07_03
2020-07-03,218,July 3,14:30,14:30:47,218/2779,1900-01-01 14:30:47,2020-07-03 14:30:47-01:00,5613.0,104,143000,2020-07-03,ARIS_2020_07_03
2020-07-03,1503,July 3,22:50,22:55:28,1503/2552,1900-01-01 22:55:28,2020-07-03 22:55:28-01:00,30281.0,105,225000,2020-07-03,ARIS_2020_07_03
2020-07-03,2016,July 3,22:50,22:57:50,2016/2552,1900-01-01 22:57:50,2020-07-03 22:57:50-01:00,142.0,106,225000,2020-07-03,ARIS_2020_07_03
